songName,singer,hot,lyric
我心是海洋,蔡琴,"6,188",我心是海洋演唱:蔡琴有一种光亮小小的却能为人指引方向有一种力量微微的却能让人变得坚强有一种歌唱轻轻的却能使人打开心房有一种爱啊淡淡的却能给人无限希望我的心是一盏烛光虽然只能微微发亮为迷失的人指引方向让脆弱的人不再迷茫我的心是一片海洋可以温柔却有力量让鱼儿可以随波逐浪使船帆可以顺利归航我想要大声歌唱任何人都不能阻挡让封闭的人打开心房让生命快乐不再悲伤我的爱会一直成长不停付出不再隐藏那温暖可以融化冰霜像寒冷冬天看见阳光就是这种光亮小小的却能够为人指引方向就是这种爱啊淡淡的却能够给人无限希望
奋斗,大张伟,"1,752","奋斗作词：大张伟作曲：SIEGEL,RALPH演唱：大张伟奋斗奋斗为了理想而奋斗为了将来而奋斗WOW吼吼吼吼奋斗奋斗为了欢笑而奋斗为了真爱而奋斗WOW吼吼吼吼奋斗奋斗为了追求而奋斗为了目标而奋斗WOW吼吼吼吼奋斗奋斗为了信念而奋斗为了明天而奋斗WOW吼吼吼吼奋斗过去就不再有紧抓住梦的手别为谁停留奋斗时光证明不朽随心风雨同舟大步向前走奋斗奋斗为了理想而奋斗为了将来而奋斗WOW吼吼吼吼奋斗奋斗为了欢笑而奋斗为了真爱而奋斗WOW吼吼吼吼奋斗奋斗为了追求而奋斗为了目标而奋斗WOW吼吼吼吼奋斗奋斗为了信念而奋斗为了明天而奋斗WOW吼吼吼吼奋斗时光证明不朽随心风雨同舟大步向前走奋斗奋斗为了理想而奋斗为了将来而奋斗WOW吼吼吼吼奋斗奋斗为了欢笑而奋斗为了真爱而奋斗WOW吼吼吼吼奋斗奋斗为了追求而奋斗为了目标而奋斗WOW吼吼吼吼奋斗奋斗为了信念而奋斗为了明天而奋斗WOW吼吼吼吼暴雨中痛算什么擦干眼泪带着伤去拼搏惊涛骇浪后泪算什么谁也挡不住我的执着奋斗奋斗为了理想而奋斗为了将来而奋斗WOW吼吼吼吼奋斗奋斗为了欢笑而奋斗为了真爱而奋斗WOW吼吼吼吼奋斗奋斗为了追求而奋斗为了目标而奋斗WOW吼吼吼吼奋斗奋斗为了信念而奋斗为了明天而奋斗WOW吼吼吼吼为理想奋斗"
HowAreYou,潘玮柏,888,歌曲：HowAreYou歌手：潘玮柏HOWAREYOU今天的你　想念着每天的你你和我是否需要一点温习多希望你在一起　不管今天星期几　想念你慢慢变成我的呼吸翻开我们爱情簿子里的第一天　握手打个招呼形成当天的画面记不记得我们当时完全羞涩的脸才刚分开就猜测　你在想什么　要什么第二天　你准备好了没　要不要我打电话给谁(谁)口中唱着无所谓　但真的希望你陪GOAHEAD出来吧MAKEITAGOODUHHUHHHDAYDAY唱歌　下棋　随便你　喝咖啡帮你多加点糖想睡一觉　就帮你找张床　开玩笑　别介意　我想你一定懂我的心穿上我的NIKEKHAKI不是臭屁GOTTAMAKEYOUMYBABY第一次的机会要追求完美　你一定也会跟着我说YAYA昨天没三振出局　今天就想要延续没你在有些落寞　真的有些话想跟你说说说UHH到底要不要我再做　要不要我再说　要不要你真的来了解我一起生活　一起发火　不能自我　不要我行我素嫌我啰唆第五天口角　真的没必要CUZBABY我会安抚心中所有的需要喝着一点CRISTALIMAKEYOUGOWOW但今晚绝对不会犯规FOULFOULFOUL六天五夜的旅途　焦点不模糊现在心中想的都是几个你　又有几个我七天我们看到永远YOGIRLYOU'DBETTERLISTENTHIS
我不难过,孙燕姿,"19,325",我不难过作词:杨明学作曲:李思菘演唱：孙燕姿又站在你家的门口我们重复沉默这样子单方面的守候还能多久终于你开口向我叙说她有多温柔虽然你还握着我的手但我已不在你心中我真的懂你不是喜新厌旧是我没有陪在你身边当你寂寞时侯别再看着我说着你爱过别太伤痛我不难过这不算什么只是为什么眼泪会流我也不懂就让我走让我开始享受自由回忆很多你的影子也会充满我生活我并不懦弱你比谁都懂虽然寂寞这会是我最后的宽容终于你开口向我叙说她有多温柔虽然你还握着我的手但我已不在你心中我真的懂你不是喜新厌旧是我没有陪在你身边当你寂寞时侯别再看着我说着你爱过别太伤痛我不难过这不算什么只是为什么眼泪会流我也不懂就让我走让我开始享受自由回忆很多你的影子也会充满我生活我并不懦弱你比谁都懂虽然寂寞这会是我最後的宽容抱紧我再抱紧我这一份感动请你让我留在胸口别再说是你的错爱到了尽头是非对错就让他随风忘了所有过了比你快活真的懂你不是喜新厌旧是我没有陪在你身边当你寂寞时侯别再看着我说着你爱我别太伤痛我不难过这不算什么只是为什么眼泪为流我也不懂不要再说或许这是最好的结果现在分手总好过你不爱我一拖再拖松开你的手离开你左右我向前走这会是我真正的解脱
不死心,郑元畅,210,郑元畅-不死心作词：严云农作曲：陈忠义你安静我沉默你难过我心痛你快乐会传染我你想我是偶尔我想你是永久我是你男的朋友不知道再继续付出有没有未来只知道爱情应该是期待再期待别要爱不爱别爱甩不甩明明知我会摇摆你今天不爱但如果我再徘徊明天的你会不会给我爱你常说谢谢我我只想对你说不死心的我仍是我不知道再拼一下算不算不知好歹只知道不努力爱你世界会崩溃别要爱不爱别爱甩不甩明明知我会摇摆你今天不爱但如果我再徘徊明天的你会不会给我爱你隐瞒你的答案我是真爱还是备胎是什麽我都不管爱情不管要学拥有或失败我只想爱我所爱不留遗憾别要爱不爱别爱甩不甩明明知我会摇摆你今天不爱但如果我再徘徊明天的你会不会给我爱别要爱不爱别爱甩不甩明明知道我会在你今天不爱但只要我再等待总有天你的心门会打开
让我取暖,王力宏,"8,751",让我取暖演唱：彭羚、王力宏看起来朋友很多知心的没几个而最关心的就是你尤其在这些年后分开的那么远感情就更难说出口回程的机票在手也许明天就走其实都可以更改的只要你开口留我只要一个理由就能让我停留别太晚别太乱别太烦告诉我有没有人让你取暖谈情感谈孤单谈平凡虽然所有相聚都可能面对离散下一晚下一站下一段告诉我有没有人让你取暖如果能再回到你身边那些走在大街的日子多简单多自然看起来朋友很多知心的没几个而最关心的还是你回程的机票在手也许明天就走除非是你留我别太晚别太乱别太烦告诉我有没有人让你取暖谈情感谈孤单谈平凡虽然所有相聚都可能面对离散下一晚下一站下一段告诉我有没有人让你取暖如果能再回到你身边那些走在大街的日子多简单多自然一直到天黑了人散了谁也都不要离开一直到我们都相信了还有爱别太晚别太乱别太烦告诉我有没有人让你取暖谈情感谈孤单谈平凡虽然所有相聚都可能面对离散下一晚下一站下一段告诉我有没有人让你取暖如果能再回到你身边那些走在大街的日子多简单多自然
天使,五月天,"31,907",天使演唱：五月天你就是我的天使保护着我的天使从此我再没有忧伤你就是我的天使给我快乐的天使甚至我学会了飞翔飞过人间的无常才懂爱才是宝藏不管世界变得怎么样只要有你就会是天堂像孩子依赖着肩膀像眼泪依赖着脸庞你就像天使一样给我依赖给我力量像诗人依赖着月亮像海豚依赖海洋你是天使你是天使你是我最初和最后的天堂你就是我的天使保护着我的天使从此我再没有忧伤你就是我的天使给我快乐的天使甚至我学会了飞翔飞过人间的无常才懂爱才是宝藏不管世界变得怎么样只要有你就会是天堂像孩子依赖着肩膀像眼泪依赖着脸庞你就像天使一样给我依赖给我力量像诗人依赖着月亮像海豚依赖海洋你是天使你是天使你是我最初和最后的天堂像孩子依赖着肩膀像眼泪依赖着脸庞你就像天使一样给我依赖给我力量像诗人依赖着月亮像海豚依赖海洋你是天使你是天使你是我最初和最后的天堂像孩子依赖着肩膀像眼泪依赖着脸庞你就像天使一样给我依赖给我力量像诗人依赖着月亮像海豚依赖海洋你是天使你是天使你是我最初和最后的天堂
温存记忆,魏晨,574,温存记忆作词：魏晨、陆虎作曲：陆虎演唱：魏晨来个节拍床头灯光也暗了下来让我想起老家门外的青苔梦照进现在的无奈谁能明白发现这感觉在我身边让我们依赖不是随便说说都是认真承诺不分你我我是你你是我你是我最挺的人难过我的难过快乐我的快乐总唱着我们的歌自称恋爱高手为我划策出谋害我在我喜欢的女生面前出糗他零用钱被偷争着要替我报仇被隔壁班的小胖打破了你的头和女朋友分手喝得烂醉像只狗非要赖在我家还说我不让你走最无助的时候总会陪在我左右凭什么让我感动是你一句问候wo~wo~wo~你是我的朋友wo~wo~wo~你是我的朋友wo~wo~wo~你是我的朋友wo~wo~wo~你是我的朋友让我看见让我看见你们手牵着手~
LoveSong,方大同,"2,649",LoveSong作词：周耀辉作曲：方大同演唱：方大同我写了这首歌是一首简单的不复杂也不难唱的那一种歌这不是那种只剩下那钢琴的歌也不是那种不能只是朋友的歌这不是那种两个人的故事写在一本小说那小说里有谁会在花田里犯的错这就是一首写给你听的一个LoveSong一直想写一首LoveSong你给了我一首LoveSong那DJ会播放这也许会上榜如果我只想写出一首LoveSong一直想写一首LoveSong你给了我一首你就像那夏天的凉风吹过我的面孔情翔飞在我心底你就是我第一yeah想说爱你我写了这首歌是一首简单的不复杂也不难唱的那一种歌这不是那种童话里会遇见的歌也不是那种真真切切爱我的歌这不是那种两个人的故事写在一本小说那小说里有谁陪在看流星在降落这就是一首写给你听的一个LoveSong一直想写一首LoveSong你给了我一首LoveSong那DJ会播放这也许会上榜如果我只想写出一首LoveSong一直想写一首LoveSong你给了我一首你就像那夏天的凉风吹过我的面孔情翔飞在我心底你就是我第一yeah想说爱你如果你是一幅画你会是最珍贵的一幅画如果那画家是梵高的话有何贵人前来有钱花个个向你求嫁梵高他说你们都该回家又或者你是Melody就是最动听所有的人都会跟着你齐唱就算在夜晚你的星太亮让我忘了月亮代表我的Love...Song你给了我一首lovesong那DJ会播放这也许会上榜不过我只想写出一首LoveSong一直想写一首LoveSong你给了我一首love你就像那夏天的凉风吹过我的情翔飞在我心底你就是我第一
第一个清晨,王力宏,"3,008",第一个清晨演唱：王力宏光投进爱把梦刷白舍不得你会醒过来不要现在昨夜走太快哦…说不上来隐隐藏在胸口一块吻你脸颊证明此刻真的存在是你让我相信爱对我慷慨HEYOH是爱我们是注定不是意外这是爱我们的爱还不确定却好实在把你贴在胸怀静静的代替表白才不愿放开这是爱给你的爱没名字却停不下来在忐忑里期待雀跃中想到未来是你我才明白这就是爱但梦还在小心不让你醒过来也许现在就是永恒的未来是你让我相信爱对我慷慨HEYOH是爱我们是注定不是意外这是爱我们的爱还不确定却好实在把你贴在胸怀静静的代替表白才不愿放开这是爱给你的爱没名字却停不下来在忐忑里期待雀跃中想到未来是你我才明白这就是爱第一个我们的清晨迷人和默契都是你的无限可能言语都显得太肤浅这是爱我们的爱还不确定却好实在把你贴在胸怀静静的代替表白才不愿放开这是爱给你的爱没名字却停不下来在忐忑里期待雀跃中想到未来是你我才明白这就是爱
有你真好,范玮琪,"5,222",有你真好演唱：范玮琪，杨丞琳这时候　最能让我想起你多希望你在这里　oh你总是愿意　把你的手心借给我握紧该往哪里我总是依赖着你你是我的方向感　oh我可以确定　你会带着我朝对的方向前进I'mthinkingofyou我有你真好你能让烦恼变得渺小我遇见一个最懂我的人我会提醒自己把这份爱收好I'mthinkingofyou我有你真好只要牵着你的手就知道我不是一个人在这世界停靠因为我拥有你　在我心里thinkingofyou　有你真好thinkingofyou　呜哦该往哪里我总是依赖着你你是我的方向感　oh我可以确定　你会带着我朝对的方向前进I'mthinkingofyou我有你真好你能让烦恼变得渺小我遇见一个最懂我的人我会提醒自己把这份爱收好I'mthinkingofyou我有你真好只要牵着你的手就知道我不是一个人在这世界停靠因为我拥有你　在我心里因为有你　我看见世界的美丽I'mthinkingofyou我有你真好只要牵着你的手就知道我不是一个人在这世界停靠因为我拥有你　在我心里I'mthinkingofyou我有你真好只要牵着你的手就知道我早已经历永远和缺少因为我拥有你　在我心thinkingofyou　有你真好thinkingofyou　有你真好
数到五答应我,曹格,"3,399",数到五答应我演唱：曹格第一次看着你就为你心动聪明的我怎能让你走第二次看见你我竟然失控是我的错请你原谅我第三次看见你想要告诉你我真的爱你是真的爱你第四次看着你我有些要求请你能够安安静静的聆听一.让我保护你二.让我照顾你三.所有的要求不能当作游戏四.接受这命运五.永远不分离那最后一个一定要说你愿意Wantbeyourloverwantbeyourman我只要你开心多一点Canyoubemyloverdon'twannabeyourfriend给你幸福到永远第一次看着你就为你心动聪明的我怎能让你走第二次看见你我竟然失控是我的错请你原谅我第三次看见你想要告诉你我真的爱你是真的爱你第四次看着你我有些要求希望你能够安安静静的聆听一.让我保护你二.让我照顾你三.所有的要求不能当作游戏四.接受这命运五.永远不分离说你愿意Wantbeyourloverwantbeyourman我只希望给你多一点Canyoubemyloverdon'twannabeyourfriend给你幸福每一天因为我Wantbeyourloverwantbeyourman我只要你开心多一点Canyoubemyloverdon'twannabeyourfriend给你幸福到永远你说你害怕因为受过伤不需要害怕因为我不是他Wantbeyourloverwantbeyourman我只希望给你多一点Canyoubemyloverdon'twannabeyourfriend给你幸福每一天因为我Wantbeyourloverwantbeyourman我只要你开心多一点Canyoubemyloverdon'twannabeyourfriend给你幸福到永远....
女朋友,王力宏,25,"王力宏—女朋友Thisone,forallyougentlemenoutthereWhoneverknowwhattodowhenyouseethatBootythatyoulikeonthedancefloor(女朋友)WellthenexttimethathappensYoutelltheDJtoplaythissong(女朋友)Youwalkuptoherandyousay""ComehereShorty""我们这么熟交往这么久这时候普通朋友都不够有没有发抖我看你点头你穿这么露我摸你背后我帮你针灸我让你放松这样不会生锈你跟我最疯希望你能懂保证不同只怕失控其他是梦嘻哈曲风会让你疯Shorty想要你当我的女朋友(Shorty想要你当我的女朋友)若你想好别让我继续等候(若你想好别让我继续)我希望把你黄灯变绿灯Yo(我希望让你黄灯变绿)Shorty想要你当我的女朋友(Shorty想要你当我的女朋友)对你来说这样会不会太直接如果你不舒服我就该说“歹势”我只希望你能够做我的girlfriend如果你不介意-大声叫OhYeahNow别浪费这机会小姐想给你体会冒险想陪你劈腿抱歉我说话没礼貌但我多想对你好被你抱给你咬一个水蜜桃会医疗你的嘴角让他往上翘几十秒被我吓到抓不到我的脚小姐小姐showyouhow怎么叫你舌头绕Shorty想要你当我的女朋友(Shorty想要你当我的女朋友)若你想好别让我继续等候(若你想好别让我继续)我希望把你黄灯变绿灯Yo(我希望让你黄灯变绿)Shorty想要你当我的女朋友(Shorty想要你当我的女朋友)Yeah,whassupShorty?Uh(女朋友)NowI'mgonnatellyouwhatIwannahearIwannaheareveryonesingwiththeChineseflute...likethatShorty想要你当我的女朋友(Shorty想要你当我的女朋友)若你想好别让我继续等候(若你想好别让我继续)我希望把你黄灯变绿灯Yo(我希望让你黄灯变绿)Shorty想要你当我的女朋友(Shorty想要你当我的女朋友)Shorty想要你当我的女朋友(Shorty想要你当我的女朋友)若你想好别让我继续等候(若你想好别让我继续)我希望把你黄灯变绿灯Yo(我希望让你黄灯变绿)Shorty想要你当我的女朋友(Shorty想要你当我的女朋友)"
喜欢两个人,彭佳慧,"1,428",喜欢两个人作词:姚若龙作曲:陈国华演唱：彭佳慧没必要回想刚刚下大雨的黄昏此刻夜空只有美丽的星辰走过了甜酸各一半的旅程我单薄的心才能变得丰盛心会累爱会冷这是感情必经的过程只是有人就放弃也有人愿意再等等一个发现等一个感动让爱再沸腾就算很在乎自尊我们依赖彼此不得不承认放弃自由喜欢两个人绑住的两个人互不相让还是相爱分享一生不爱热闹喜欢两个人就我们两个人在浮动不安世界里找到安稳有时候关心就是交换一个眼神抚慰就是暖暖紧紧的拥吻疼爱是不讲理也让我几分体贴是偶而准你不像情人心会累爱会冷这是感情必经的过程只是有人就放弃也有人愿意再等等一个发现等一个感动让爱再沸腾就算很在乎自尊我们依赖彼此不得不承认放弃自由喜欢两个人绑住的两个人互不相让还是相爱分享一生不爱热闹喜欢两个人就我们两个人在浮动不安世界里找到安稳放弃自由喜欢两个人绑住的两个人互不相让还是相爱分享一生不爱热闹喜欢两个人就我们两个人在不安世界里找到安稳（歌手讲述）
爱就一个字,张信哲,"25,223",爱就一个字演唱：张信哲拨开天空的乌云像蓝丝绒一样美丽我为你翻山越岭却无心看风景我想你身不由己每个念头有新的梦境但愿你没忘记我永远保护你不管风雨的打击全心全意两个人相互辉映光芒胜过夜晚繁星我为你翻山越岭却无心看风景我想你鼓足勇气凭爱情地图散播讯息但愿你没忘记我永远保护你从此不必再流浪找寻爱就一个字我只说一次你知道我只会用行动表示电话太放肆守住了坚持看我为你孤注一掷爱就一个字我只说一次恐怕听见的人勾起了相思热闹的城市搜索你的影子让你幸福我愿意试两个人相互辉映光芒胜过夜晚繁星我为你翻山越岭却无心看风景我想你鼓足勇气凭爱情地图散播讯息但愿你没忘记我永远保护你从此不必再流浪找寻爱就一个字我只说一次你知道我只会用行动表示电话太放肆守住了坚持看我为你孤注一掷爱就一个字我只说一次恐怕听见的人勾起了相思热闹的城市搜索你的影子让你幸福我愿意试爱就一个字我只说一次你知道我只会用行动表示电话太放肆守住了坚持看我为你孤注一掷爱就一个字我只说一次恐怕听见的人勾起了相思热闹的城市搜索你的影子让你幸福是我一生在乎的事
