songName,singer,hot,lyric
搁浅,周杰伦,"25,394",搁浅作词：宋健彰作曲：周杰伦演唱：周杰伦久未放晴的天空依旧留着你的笑容哭过却无法掩埋歉疚风筝在阴天搁浅想念还在等待救援我拉着线复习你给的温柔曝晒在一旁的寂寞笑我给不起承诺怎么会怎么会你竟原谅了我我只能永远读着对白读着我给你的伤害我原谅不了我就请你当作我已不在我睁开双眼看着空白忘记你对我的期待读完了依赖我很快就离开久未放晴的天空依旧留着你的笑容哭过却无法掩埋歉疚风筝在阴天搁浅想念还在等待救援我拉着线复习你给的温柔曝晒在一旁的寂寞笑我给不起承诺怎么会怎么会你竟原谅了我我只能永远读着对白读着我给你的伤害我原谅不了我就请你当作我已不在我睁开双眼看着空白忘记你对我的期待读完了依赖我很快就我只能永远读着对白读着我给你的伤害我原谅不了我就请你当作我已不在我睁开双眼看着空白忘记你对我的期待读完了依赖我很快就离开我很快就离开歌手讲述
越长大越孤单,牛奶咖啡,"30,664",越长大越孤单演唱：牛奶咖啡多年以后你回到我身边不安全充满了你疲倦的双眼看着我也告诉我你是否依然相信童话你曾对我说每颗心都寂寞每颗心都脆弱都渴望被触摸但你的心永远的燃烧着永远的不会退缩越长大越孤单越长大越不安也不得不看梦想的翅膀被折断也不得不收回曾经的话问自己你纯真的眼睛哪去了越长大越孤单越长大越不安也不得不打开保护你的降落伞也突然间明白未来的路不平坦难道说这改变是必然多年以后你回到我身边不安全充满了你疲倦的双眼看着我也告诉我你是否依然相信童话也曾对我说每颗心都寂寞每颗心都脆弱都渴望被触摸但你的心永远的燃烧着永远的不会退缩越长大越孤单越长大越不安也不得不看梦想的翅膀被折断也不得不收回曾经的话问自己你纯真的眼睛哪去了越长大越孤单越长大越不安也不得不打开保护你的降落伞也突然间明白未来的路不平坦难道说这改变是必然你曾对我说每颗心都寂寞每颗心都脆弱都可望被触摸看着我也告诉我你的心依旧燃烧着
人鱼的眼泪,南拳妈妈,"2,876",人鱼的眼泪作词：黄俊郎作曲：钟佐泓演唱：南拳妈妈透过窗舷你望着翦影一夜爱上她在天与海的交界没源头用生命交换了双腿只为走进爱的人身边你赌上毁灭相信真爱会永远不懂专情不适合人类而你连道别都没有人听见黎明后随浪花凋谢你的泪一抹无邪不属于这个冷漠的世界舍弃了一切只为一个能够付出你真爱的机会你的泪一抹无邪原来感情那么难以学会他身边是谁消失前后不后悔你的悲伤是否像海一样深邃你不想毁灭相信真爱会永远不懂专情不适合人类你最美的梦想泡沫伴随脸剩童话里留下一页你的泪一抹无邪不属于这个冷漠的世界舍弃了一切只为一个能够付出你真爱的机会你的泪一抹无邪原来感情那么难以学会他身边是谁消失前后不后悔你的悲伤是否像海一样深邃你的泪一抹无邪原来感情那么难以学会他身边是谁消失前后不后悔人鱼最后的泪像海一样深邃
心要让你听见,邰正宵,"10,614",心要让你听见作词∶姚若龙作曲∶邰正宵演唱：邰正宵缘分让你我擦肩没开口却有感觉爱情最害怕犹豫再回头只能怀念寂寞因你而强烈熬不过漫长午夜天涯挡不住思念渴望着它年它月再相见到那天绝不再让你走过我身边沉默的习惯愿为你改变心要让你听见爱要让你看见不怕承认对你有多眷恋想你的时候盼你能收到我的真情留言心要让你听见爱要让你看见问你是否愿分享每一天当我的遗憾变成感切缘分让你我擦肩没开口却有感觉爱情最害怕犹豫再回头只能怀念寂寞因你而强烈熬不过漫长午夜天涯挡不住思念渴望着它年它月再相见到那天绝不再让你走过我身边沉默的习惯愿为你改变心要让你听见爱要让你看见不怕承认对你有多眷恋想你的时候盼你能收到我的真情留言心要让你听见爱要让你看见问你是否愿分享每一天当我的遗憾变成感切心要让你听见爱要让你看见不怕承认对你有多眷恋想你的时候盼你能收到我的真情留言心要让你听见爱要让你看见问你是否愿分享每一天当我的遗憾变成感切
雨下一整晚,周杰伦,"21,200",雨下一整晚作词：方文山作曲：周杰伦演唱：周杰伦街灯下的橱窗有一种落寞的温暖吐气在玻璃上画着你的模样开着车漫无目的的转弯不知要去哪个地方闹区的电视墙到底有谁在看白杨木影子被拉长像我对你的思念走不完原来我从未习惯你已不在我身旁街道的铁门被拉上只剩转角霓虹灯还在闪　这城市的小巷雨下一整晚你撑把小纸伞叹姻缘太婉转雨落下雾茫茫问天涯在何方午夜笛笛声残偷偷透透过窗烛台前我嘛还在想　小舢舨划呀划小纸伞遮雨也遮月光白杨木影子被拉长像我对你的思念走不完原来我从未习惯你已不在我身旁街道的铁门被拉上只剩转角霓虹灯还在闪　这城市的小巷雨下一整晚
回到过去,周杰伦,"42,601",回到过去作词：刘耕宏作曲：周杰伦演唱：周杰伦一盏黄黄旧旧的灯时间在旁闷不吭声寂寞下手毫无分寸不懂得轻重之分沉默支撑跃过陌生静静看着凌晨黄昏你的身影失去平衡慢慢下沉黑暗已在空中盘旋该往哪我看不见也许爱在梦的另一端无法存活在真实的空间想回到过去试着抱你在怀里羞怯的脸带有一点稚气想看你看的世界想在你梦的画面只要靠在一起就能感觉甜蜜想回到过去试着让故事继续至少不再让你离我而去分散时间的注意这次会抱得更紧这样挽留不知还来不来得及想回到过去思绪不断阻挡着回忆播放盲目的追寻仍然空空荡荡灰蒙蒙的夜晚睡意又不知躲到哪去一转身孤单已躺在身旁想回到过去试着抱你在怀里羞怯的脸带有一点稚气想看你看的世界想在你梦的画面只要靠在一起就能感觉甜蜜想回到过去试着让故事继续至少不再让你离我而去分散时间的注意这次会抱得更紧这样挽留不知还来不来得及想回到过去沉默支撑跃过陌生静静看着凌晨黄昏你的身影失去平衡慢慢下沉想回到过去
一场游戏一场梦,王杰,"528,574",一场游戏一场梦演唱：王杰不要谈什么分离我不会因为这样而哭泣那只是昨夜的一场梦而已不要说愿不愿意我不会因为这样而在意那只是昨夜的一场游戏那只是一场游戏一场梦虽然你影子还出现我眼里在我的歌声中早已没有你那只是一场游戏一场梦不要把残缺的爱留在这里在两个人的世界里不该有你哦为什么道别离又说什么在一起如今虽然没有你我还是我自己说什么此情永不渝说什么我爱你如今依然没有你我还是我自己那只是一场游戏一场梦虽然你影子还出现我眼里在我的歌声中早已没有你那只是一场游戏一场梦不要把残缺的爱留在这里在两个人的世界里不该有你哦为什么道别离又说什么在一起如今虽然没有你我还是我自己说什么此情永不渝说什么我爱你如今依然没有你我还是我自己为什么道别离又说什么在一起如今虽然没有你我还是我自己说什么此情永不渝说什么我爱你如今依然没有你我还是我自己
当爱已成往事,张国荣,"11,314",当爱已成往事演唱：张国荣啊呀依孤看来今日是你我分别之日了往事不要再提人生已多风雨纵然记忆抹不去爱与恨都还在心里真的要断了过去让明天好好继续你就不要再苦苦追问我的消息爱情它是个难题让人目眩神迷忘了痛或许可以忘了你却太不容易你不曾真的离去你始终在我心里我对你仍有爱意我对自己无能为力因为我仍有梦依然将你放在我心中总是容易被往事打动总是为了你心痛别留恋岁月中我无意的柔情万种不要问我是否再相逢不要管我是否言不由衷为何你不懂只要有爱就有痛有一天你会知道人生没有我并不会不同人生已经太匆匆我好害怕总是泪眼朦胧忘了我就没有痛将往事留在风中因为我仍有梦依然将你放在我心中总是容易被往事打动总是为了你心痛别留恋岁月中我无意的柔情万种不要问我是否再相逢不要管我是否言不由衷为何你不懂只要有爱就有痛有一天你会知道人生没有我并不会不同人生已经太匆匆我好害怕总是泪眼朦胧忘了我就没有痛将往事留在风中为何你不懂只要有爱就有痛有一天你会知道人生没有我并不会不同人生已经太匆匆我好害怕总是泪眼朦胧忘了我就没有痛将往事留在风中
单恋一枝花,张宇,"13,320",单恋一枝花作词∶十一郎作曲∶张宇演唱：张宇都说要忘了他曲曲折折后各走天涯谁不知道你割舍不下还是苦苦的恋着他你向所有人撒谎难道甜蜜较容易伪装让人羡慕的恩爱之中有着貌合神离的心伤你应该大声说拜拜就算有眼泪流下来这一段心碎神伤纠缠的爱就此忘了吧大声说拜拜能勇敢爱就勇敢散那为爱死过的心总有一天会再活过来大声说拜拜看究竟是谁离不开别死守天长地久海枯石烂傻傻的情话大声说拜拜你别怕自己没人爱这世界还是精彩你又何必单恋一枝花都说要忘了他曲曲折折后各走天涯谁不知道你割舍不下还是苦苦的恋着他你向所有人撒谎难道甜蜜较容易伪装让人羡慕的恩爱之中有着貌合神离的心伤你应该大声说拜拜就算有眼泪流下来这一段心碎神伤纠缠的爱就此忘了吧大声说拜拜能勇敢爱就勇敢散那为爱死过的心总有一天会再活过来大声说拜拜看究竟是谁离不开别死守天长地久海枯石烂傻傻的情话大声说拜拜你别怕自己没人爱这世界还是精彩你又何必单恋一枝单恋一枝单恋一枝花你应该大声说拜拜大声说拜拜你应该大声说拜拜看究竟是谁离不开别死守天长地久海枯石烂傻傻的情话大声说拜拜你别怕自己没人爱这世界还是精彩你又何必单恋一枝单恋一枝单恋一枝单恋一枝单恋一枝单恋一枝花
我很快乐,刘惜君,"40,993",我很快乐演唱：刘惜君说有什么不能说怕什么相信我不会哭我不会难过错谁的错谁能说得清楚还不如算我的错做有什么不敢做怕什么相信我不在乎就算你走了落就算我的心从十六楼落下负一层B座我也不会难过你不要小看我有什么熬不过大不了唱首歌虽然是悲伤的歌声音有点颤抖也比你好得多我还是很快乐我再不会难过你别太小看我有什么熬不过谁说我不能喝我喝得比谁都多走路有点颠簸也比你强得多我还是很快乐做有什么不忍心怕什么相信我不在乎就算你走了落就算我的心从十六楼落下负一层B座我也不会难过你不要小看我有什么熬不过大不了唱首歌虽然是悲伤的歌声音有点颤抖也比你好得多我还是很快乐我再不会难过你别太小看我有什么熬不过谁说我不能喝我喝得比谁都多走路有点颠簸也比你强得多我还是很快乐我也不会难过你不要小看我有什么熬不过大不了唱首歌虽然是悲伤的歌声音有点颤抖也比你好得多我还是很快乐我才不会难过你别太小看我有什么熬不过烧掉你写的信忘掉你喜欢的歌绑住我的眼睛眼泪掉不下来我还是很快乐
到不了,范玮琪,"24,832",到不了演唱：范玮琪你眼睛会笑弯成一条桥终点却是我永远到不了感觉你来到是风的呼啸思念像苦药竟如此难熬每分　每秒我找不到我到不了你所谓的将来的美好我什麽都不要知不知道若你懂我这一秒我想看到我在寻找那所谓的爱情的美好我紧紧的依靠紧谨守牢不敢漏掉一丝一毫愿你看到你眼睛会笑弯成一条桥终点却是我永远到不了感觉你来到是风的呼啸思念像苦药竟如此难熬每分　每秒我找不到我到不了你所谓的将来的美好我什麽都不要知不知道若你懂我这一秒我想看到我在寻找那所谓的爱情的美好我紧紧的依靠紧谨守牢不敢漏掉一丝一毫愿你看到我找不到我到不了你所谓的将来的美好我什麽都不要知不知道若你懂我这一秒我想看到我在寻找那所谓的爱情的美好我紧紧的依靠紧谨守牢不敢漏掉一丝一毫愿你看到
一个人想你,黄龄,"2,638",一个人想你演唱：黄龄我傻傻地想着你每一分钟都不放弃一颗迷乱的心随着你我飘来飘去是一种魔力在让我拼命奔向你怀里只有相信没有怀疑我试着去靠近你可总是再次讨没趣你冷冷的眼神让我无法接近既然你对我没反应我就该选择放弃可是我还想鼓起勇气告诉你告诉你OhBaby我每天都在想着你Oh念着你但我早已学会一个人想你OhBaby我每天都在盼着你Oh念着你但我早已学会去珍惜自己我试着去靠近你可总是再次讨没趣你冷冷的眼神让我无法接近既然你对我没反应我就该选择放弃可是我还想鼓起勇气告诉你告诉你OhBaby我每天都在想着你Oh念着你但我早已学会一个人想你OhBaby我每天都在盼着你Oh念着你但我早已学会去珍惜自己夜幕慢慢降落寂寞一步一步靠近你的温柔钻进我的身体OhBabyBelieveMe我要你我每天都在想着你Oh念着你但我早已学会一个人想着你Oh我要你我每天都在盼着你Oh念着你但我早已学会去珍惜自己
假如我是真的,王菲,"2,345",假如我是真的作词：庄奴作曲：欣逸演唱：王菲假如流水能回头请你带我走假如流水能接受不再烦忧假如流水能回头请你带我走假如流水能接受不再烦忧有人羡慕你自由自在地流我愿变做你到处任意游呀游假如流水换成我也要泪儿流假如我是清流水我也不回头
不流泪的机场,林俊杰,"4,276",不流泪的机场作词：陈嘉文作曲：林俊杰演唱：林俊杰地面灯火像是星光闪耀什么地方等着我降落停靠走过一扇大门一座桥什么笑容值得我凝住心跳往前跑的人需要摆脱遗憾的药回到教堂祈祷那一秒爱是三万里程的孤单闪着等待的泪光眺望可能的远方爱是再远都在你身旁心疼了解的目光不流泪的机场累计或多或少的伤或真或假的谎只求不忘了我最真的模样最真的微笑红灯闪烁停驻的街道蓝天绿叶的熟悉不同面貌一张床一个停靠黑夜白昼颠倒谁能解读脸上的微笑爱是三万里程的孤单闪着等待的泪光眺望可能的远方爱知道再远都在你身旁心疼了解的目光不流泪的机场划下或多或少的伤或真或假的谎只求不忘了我最真的模样短暂的来回奔跑不曾解开的背包我参与的人生太潦草快乐常在门外绕太多陌生的夜晚让我困扰若你能了解我会向你怀里靠爱三万里的孤单闪着等待的泪光眺望可能的远方喔爱再远都在你身旁心疼了解的目光不流泪的机场划下或多或少的伤或真或假的谎只求不忘了我最真的模样最真的微笑
可风,黄建为,"4,538",可风词曲：黄建为演唱：黄建为在梦中你的脸那距离不曾有改变灰白的是过往云烟痛已不见属于我们的夜如今随风都已成灰听你的声音听不见已听不见lalalala....lalalala....已不在我心中红尘中空留恋不再看不再问过去的缘是否残缺挥霍的生命中那时光追不回留下的究竟是什么已无所谓lalalala....
我们终究会牵手旅行,许飞,"2,351",我们终究会牵手旅行作词:游作曲:许飞演唱:许飞无数花落在你眼里很轻另一个世界的声音倾听我默念一首诗在午后的阳光里你坐在秋千上隐藏不住笑意于是风开始放肆温柔不止无数眼眶总被回忆弄湿伤口来回穿行城市一直写断层的文字在寂寞的夜里我们终究会牵手旅行凤凰稻城或是巴黎我们终究会牵手旅行日光倾斜带上这旋律原谅空气太过甜蜜只许我说你听不必害怕一路艰辛只需安静呼吸这良辰美景任时间静止看云淡风清
海阔天空,信乐团,"12,087",海阔天空演唱：信乐团我曾怀疑我　走在沙漠中从不结果　无论种什么梦才张开翅膀　风却变沉默习惯伤痛能不能　算收获庆幸的是我　一直没回头终于发现　真的是有绿洲每把汗流了　生命变的厚重走出沮丧才看见　新宇宙海阔天空　在勇敢以后要拿执着　将命运的锁打破冷漠的人谢谢你们曾经看轻我让我不低头　更精采的活凌晨的窗口　失眠整夜以后看着黎明　从云里抬起了头日落是沉潜　日出是成熟只要是光一定会　灿烂的海阔天空　在勇敢以后要拿执着　将命运的锁打破冷漠的人谢谢你们曾经看轻我让我不低头　更精采的活海阔天空　狂风暴雨以后转过头　对旧心酸一笑而过最懂我的人谢谢一路默默的陪我让我拥有好故事可以说看未来　一步步来了
爱情爱情（特别版）,杨幂,"4,095",爱情爱情(特别版)演唱：杨幂爱情爱情　　原本就是一个人的事情　　一个人动情一个人平静　　一个人付出一个人任性　　爱情爱情　　慢慢变成两个人的感情　　一个人发疯两个人心疼　　一个人牺牲两个人相拥　　如果爱情可以看天气决定　　那要怎么去适应四季分明　　如果爱情可以随心情决定　　那要怎么去抵挡圆缺阴晴　爱情爱情　　慢慢变成两个人的感情　　一个人发疯两个人心疼　　一个人牺牲两个人相拥　　如果爱情可以看天气决定　　那要怎么去适应四季分明　　如果爱情可以随心情决定　　那要怎么去抵挡圆缺阴晴　　如果爱情可以因疼痛决定　　那要怎么去面对风平浪静　　如果爱情可以为欢喜决定　　那要怎么去感受波澜不惊　　波澜不惊
呢喃,任贤齐,"5,189",呢喃作词：谢志豪作曲:谢志豪演唱：任贤齐夜色很美风很凉很久没有闻你的发香一张娇羞带怯的脸庞忍不住要捧在手心上只是黄昏太短暂眼看幸福夕阳要下山如果是恋人总会一样把彼此放在最美的地方男男女女呢呢喃喃轻柔耳语是一波波的浪拍打在温柔的岸上不小心就容易迷乱男男女女呢呢喃喃舍不得离开温暖的海洋如果有一天你会扬起风帆漂到一个没有我的地方那里只有风呢呢喃喃
真永远,刘德华,"5,425",真永远作词：李安修　作曲：陈耀川演唱：刘德华哪一个人　哪一双眼　不需要爱人的安慰哪一颗心　哪一份情　不想要牵手到明天情若似花开花谢　爱终究沧海桑田别问我该如何　才会到永远看世间缘起缘灭　莫笑我无怨无悔谁又懂怎样爱　才是真永远我看不见　我听不见　天长地久的诺言我只看见　我只听见　曾经拥有的缠绵哪一个人　哪一双眼　不需要爱人的安慰哪一颗心　哪一份情　不想要牵手到明天情若似花开花谢　爱终究沧海桑田别问我该如何　才会到永远看世间缘起缘灭　莫笑我无怨无悔谁又懂怎样爱　才是真永远我看不见　我听不见　天长地久的诺言我只看见　我只听见　曾经拥有的缠绵我看不见　我听不见　天长地久的诺言我又看见　我又听见　曾经拥有的缠绵曾经拥有的缠绵
我想你要走了,张悬,"1,583",我想你要走了作词：焦安溥作曲：焦安溥演唱：张悬我盘旋在寂寞上空眼看着云起雨落情绪就要降落情绪就要降落也许在梦的出口平安拥抱了感动一瞬间才明白一瞬间才明白你要告别了你把话说好了你要告别了你会快乐也许在梦的出口平安拥抱了感动一瞬间才明白你说要睡得心满意足的枕头你要告别了故事都说完了你要告别了你会快乐你会快乐你会...
追,张国荣,"6,035",追演唱：张国荣这一生也在进取这分钟却挂念谁我会说是唯独你不可失去好风光似幻似虚谁明人生乐趣我会说为情为爱仍然是对谁比你重要成功了败了也完全无重要谁比你重要狂风与暴雨都因你燃烧一追再追只想追赶生命里一分一秒原来多么可笑你是真正目标一追再追追踪一些生活最基本需要原来早不缺少HA......有了你即使平凡却最重要好光阴纵没太多一分钟那又如何会与你共同渡过都不枉过疯恋多错误更多如能从新做过我会说愿能为你提前做错谁比你重要成功了败了也完全无重要谁比你重要狂风与暴雨都因你燃烧一追再追只想追赶生命里一分一秒原来多么可笑你是真正目标一追再追追踪一些生活最基本需要原来早不缺少HA......有了你即使平凡却最重要一追再追只想追赶生命里一分一秒原来多么可笑你是真正目标一追再追追踪一些生活最基本需要原来早不缺少HA......只得你会叫我彷佛人群里最重要有了你即使沉睡了也在笑
